geometry,wavelength_nm,SDS_mm,f_cortex,batch_sd,se,ci95_lo,ci95_hi,n_batches,N_eff_absw,DPF,detected,gamma,gamma_se,gamma_se_indep
2L,760,25,0.04176,0.00212,0.00053,0.04063,0.04288,16,8713.7,6.360,33582,1.8406,0.0261,0.0293
2L,760,30,0.06418,0.00268,0.00067,0.06275,0.06561,16,3792.3,6.543,21676,1.6605,0.0127,0.0231
2L,760,33,0.07742,0.00759,0.00190,0.07337,0.08146,16,2330.3,6.571,16771,1.5998,0.0467,0.0424
2L,760,35,0.08789,0.00723,0.00181,0.08403,0.09174,16,1661.5,6.599,14191,1.5686,0.0398,0.0373
2L,760,38,0.10103,0.01041,0.00260,0.09548,0.10658,16,1115.4,6.717,11315,1.4952,0.0430,0.0412
2L,760,40,0.10980,0.01229,0.00307,0.10326,0.11635,16,840.7,6.729,9604,1.4431,0.0579,0.0445
2L,760,42,0.12265,0.01475,0.00369,0.11479,0.13051,16,603.6,6.705,8131,1.3726,0.0400,0.0451
2L,850,25,0.04336,0.00197,0.00049,0.04231,0.04441,16,10744.0,5.199,44231,1.7351,0.0270,0.0237
2L,850,30,0.06327,0.00405,0.00101,0.06111,0.06543,16,4760.4,5.316,29316,1.6590,0.0329,0.0299
2L,850,33,0.07708,0.00428,0.00107,0.07480,0.07936,16,2885.8,5.363,23022,1.6032,0.0364,0.0313
2L,850,35,0.08496,0.00909,0.00227,0.08011,0.08980,16,2146.2,5.372,19730,1.5577,0.0383,0.0477
2L,850,38,0.09826,0.01119,0.00280,0.09230,0.10422,16,1344.1,5.367,15476,1.5093,0.0474,0.0480
2L,850,40,0.10706,0.01326,0.00331,0.10000,0.11413,16,963.9,5.365,13284,1.4920,0.0474,0.0502
2L,850,42,0.11695,0.00787,0.00197,0.11276,0.12115,16,704.4,5.348,11510,1.4170,0.0252,0.0307
CSF1mm,760,25,0.06015,0.00249,0.00062,0.05883,0.06148,16,,6.477,34075,1.4405,0.0208,0.0236
CSF1mm,760,30,0.08603,0.00632,0.00158,0.08266,0.08940,16,,6.641,22437,1.3404,0.0304,0.0283
CSF1mm,760,33,0.10254,0.00701,0.00175,0.09880,0.10628,16,,6.657,17882,1.3245,0.0497,0.0396
CSF1mm,760,35,0.11484,0.00947,0.00237,0.10979,0.11989,16,,6.655,15478,1.3067,0.0339,0.0381
CSF1mm,760,38,0.13720,0.00885,0.00221,0.13248,0.14192,16,,6.700,12434,1.3580,0.0444,0.0413
CSF1mm,760,40,0.15211,0.01092,0.00273,0.14629,0.15793,16,,6.707,10773,1.3853,0.0544,0.0460
CSF1mm,760,42,0.15283,0.01499,0.00375,0.14484,0.16082,16,,6.619,9297,1.2461,0.0465,0.0483
CSF1mm,850,25,0.05939,0.00231,0.00058,0.05816,0.06062,16,,5.288,44812,1.3698,0.0175,0.0205
CSF1mm,850,30,0.08592,0.00538,0.00135,0.08305,0.08879,16,,5.377,29986,1.3580,0.0230,0.0304
CSF1mm,850,33,0.10455,0.00716,0.00179,0.10074,0.10837,16,,5.470,23957,1.3564,0.0344,0.0299
CSF1mm,850,35,0.11629,0.00871,0.00218,0.11165,0.12093,16,,5.477,20657,1.3688,0.0392,0.0447
CSF1mm,850,38,0.12908,0.00820,0.00205,0.12471,0.13345,16,,5.494,16626,1.3137,0.0467,0.0428
CSF1mm,850,40,0.13815,0.01065,0.00266,0.13248,0.14383,16,,5.494,14522,1.2904,0.0451,0.0471
CSF1mm,850,42,0.15057,0.01277,0.00319,0.14377,0.15738,16,,5.438,12906,1.2875,0.0368,0.0349
