geometry,wavelength_nm,SDS_mm,f_cortex,f_cortex_sd,ci95_lo,ci95_hi,kappa_PV,DPF,N_eff,detected,n_seeds
2L,760,25,0.04109,0.00154,0.04011,0.04286,24.340,6.390,640.9,1697,3
2L,760,30,0.06005,0.00355,0.05642,0.06351,16.653,6.504,269.2,872,3
2L,760,35,0.08237,0.00584,0.07826,0.08905,12.140,6.536,139.8,475,3
2L,760,38,0.09839,0.00659,0.09160,0.10476,10.164,6.530,81.8,299,3
2L,760,40,0.11311,0.01194,0.09937,0.12083,8.841,6.769,59.8,214,3
2L,850,25,0.04342,0.00289,0.04068,0.04645,23.033,5.285,805.5,2478,3
2L,850,30,0.06350,0.00257,0.06154,0.06641,15.748,5.314,352.9,1345,3
2L,850,35,0.08159,0.00320,0.07800,0.08413,12.257,5.313,151.1,751,3
2L,850,38,0.09330,0.00791,0.08737,0.10228,10.718,5.247,103.4,529,3
2L,850,40,0.10193,0.00211,0.09974,0.10395,9.810,5.192,77.5,392,3
